GEO.display-label,GEO.id,HC01_VC85,HD01_VD01,HC01_VC73,HC01_VC72,HC01_VC74,HC01_VC75,HC01_VC156,HC01_VC76,GEO.id2,HD02_VD01,HC01_VC38,HC01_VC77
"Honolulu County, Hawaii",0500000US15003,68537,560500,32844,350888,23936,592828,0,223071,15003,9914,955775,21021
"Kauai County, Hawaii",0500000US15007,55246,503400,933,33024,2610,35065,0,14929,15007,46402,67226,803
"Maui County, Hawaii",0500000US15009,60617,597100,3332,89278,5942,74568,0,47883,15009,28718,155170,2435
"Ada County, Idaho",0500000US16001,50612,192900,6133,373049,6029,14200,0,0,16001,4746,393531,4174
"Bannock County, Idaho",0500000US16005,38396,144600,405,77306,4579,1537,0,627,16005,8564,83071,0
"Bonneville County, Idaho",0500000US16019,49482,159000,809,98031,1691,1682,0,0,16019,6688,104592,6074
"Canyon County, Idaho",0500000US16027,42732,138100,1624,176620,4883,3443,0,0,16027,5850,189428,8412
"Kootenai County, Idaho",0500000US16055,42316,195600,1194,134961,3158,1645,0,382,16055,9723,138901,926
"Twin Falls County, Idaho",0500000US16083,42106,156600,938,70995,1152,0,0,0,16083,11769,77517,5161
"Adams County, Illinois",0500000US17001,40626,96800,2807,63402,257,670,0,0,17001,6134,67120,1012
"Champaign County, Illinois",0500000US17019,45254,157300,27618,155064,1049,19695,0,0,17019,5992,201332,1718
"Cook County, Illinois",0500000US17031,51466,244400,1324942,3011135,31846,359498,0,7318,17031,2110,5200950,567056
"DeKalb County, Illinois",0500000US17037,51518,184300,7587,89430,439,3335,0,0,17037,7481,105201,6730
"DuPage County, Illinois",0500000US17043,72471,297700,47283,755485,6485,101319,0,516,17043,4619,918764,27209
"Kane County, Illinois",0500000US17089,65712,235100,31689,398001,2750,20913,0,0,17089,6203,516499,73399
"Kankakee County, Illinois",0500000US17091,44784,157500,18513,90815,0,1465,0,0,17091,5811,113502,4840
"Kendall County, Illinois",0500000US17093,77987,223100,8045,100710,917,4383,0,0,17093,8041,115304,5423
"Lake County, Illinois",0500000US17097,74705,268000,55635,550999,5358,50670,0,661,17097,6467,704596,61098
"LaSalle County, Illinois",0500000US17099,50206,130200,3289,109492,0,610,0,0,17099,8350,113840,2084
