country,program,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
Japan,Inactive Programs,"1,004,442,386","3,321,887,347","3,768,998,529","3,780,616,870","2,797,448,796","2,109,841,999","433,764,407",,,,,,,,,,,,,,,,,,,,"1,351,799,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,352","3,936,005","113,642","817,486"
Japan,Other USAID Assistance,,,,,,,,,"72,552,651","3,363,664","6,556,865","14,540,966","15,343,354","15,118,207","11,945,250","7,657,544","2,912,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733
Japan,Title I,,,,,,,,,,"392,875,937","313,418,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Title II,,,,,,,"10,477,401",,"3,390,311","10,763,724","29,505,893","244,667,557","22,708,163","25,398,587","34,043,961","9,424,669","7,573,351","5,178,025","568,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,570",
Jordan,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,452","13,810,049","283,805","55,635",,,"1,279",,
Jordan,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"215,549,215","207,120,993","193,315,278","184,332,831","175,056,047","169,635,064","52,229,821",,,"22,121,272","232,340,547","202,382,685","169,964,358","299,112,903","147,977,300","266,503,862","207,704,000","258,508,868","239,262,659","163,110,899","21,518,082","30,209,050","38,581,831","37,207,825","180,194,332","167,783,818","190,425,069","30,402,275","24,396,516","5,833,573","46,319,130",,"92,678,212","33,322,685","9,789,150","9,602,406","94,557,888","110,750,059","255,293,551","249,728,485","187,797,890","269,249,788","1,198,000,709","438,640,381","386,079,580","345,511,904","266,738,859","539,261,463","519,672,792","362,956,266"
Jordan,Inactive Programs,,,,,,"726,780",,,"8,136,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"971,824",,,,,,"435,586","1,046,127","1,074,918","55,635",,"8,816,142","12,059,156","10,519,444","25,580,828"
Jordan,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,174","52,267,631","431,386","13,447,903","5,327,771"
Jordan,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"683,687",,,,,,,,,,,,,,,,,,,,,,"100,039",,,,,,,,,,,"678,461","345,278","907,468","1,627,976"
Jordan,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"523,932","646,693","2,425,295","1,891,427","1,158,069","1,022,592","1,052,363",,"1,813,802","2,985,878","8,474,159","18,873,555","22,325,729","36,095,731"
Jordan,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"454,496","308,061","253,484","645,070","8,268,067","685,419","476,264","1,843,018","1,311,623","1,840,790","6,236,307","4,834,114","21,657,415"
Jordan,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,739,902","40,136,307","13,593,548",,,,,,,"23,388,196","90,445,899","44,347,044",,,,,,,,,
Jordan,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,885","371,603","362,129","501,326","284,720","496,205","140,412","383,793","329,409","360,186","602,540","352,401","1,041,127","1,672,330","2,763,254","1,279,703","1,152,862","1,157,045"
Jordan,Other USAID Assistance,,,,,,,"32,829,190","19,894,143","71,196,527","49,109,492","49,176,488","134,029,773","200,691,065","295,712,120","292,061,353","280,383,907","43,692,408","40,273,526","32,408,738","42,452,410","62,910,767","30,216,246","10,241,141","7,342,939","6,968,894","4,424,254","2,534,624","44,524,191","30,971,283",,,,,,,,,,,,,,"149,252","8,917,890","1,281,669","84,880","139,775",,"87,904","5,581,550","6,875,518",,"67,874,045",,,,"2,808,138","2,974,101","3,912,211","4,012,807","3,735,461","3,503,322","3,519,818","5,420,104","6,509,089","6,946,497"
Jordan,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,860","50,567","36,554","47,988","43,327","46,367"
Jordan,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,391,039","1,493,861","1,750,042","1,895,183","1,860,003","1,921,269","756,570","1,456,943","934,638","1,149,454","1,254,638","1,320,864","1,541,638","1,907,700"
Jordan,Title I,,,,,,,,,,,,,,,,,,,,,"3,282,301","25,445,260","9,217,027","6,363,880",,"5,309,105","7,181,435","23,881,157","30,971,283","21,877,972","36,994,325",,"29,078,560","16,677,992","13,120,855","2,245,730",,,,,,,,,,,,"28,984,110","36,296,024","25,987,529","1,698,146","33,702,459","32,723,466",,"42,123,552",,,,"23,569,159","45,960,347","22,254,000","21,518,082",,,,
Jordan,Title II,,,,,,,"2,793,974",,"8,136,746","10,763,724","3,934,119","5,689,943","28,845,505","87,080,870","19,112,399","119,575,490","8,738,482","76,519,700","55,720,286","12,288,855","8,211,223","15,903,287","25,602,853","43,078,575","11,150,230","42,472,843","8,871,185","17,000,146","11,708,656","17,775,853","12,437,747","1,236,677","11,129,967","10,832,355","6,755,954","6,531,528","1,134,003","817,658","273,931",,,,,,,"8,889,254","18,414,642",,,"672,007",,,"7,063,517","1,583,104",,,,,,,,,,,,
Kazakhstan,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,062","125,988","2,319,606","742,374","1,569,430",,,
Kazakhstan,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,538,918","97,870,369","51,131,014",,"6,456,107",,,,"4,206,819","6,728,995","178,096","873,408","3,681,744",,"17,102","215,278",164
Kazakhstan,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"374,752",,,,,,,,,14
Kazakhstan,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"520,338",,,,,,,"43,812","42,801",,"407,322","1,560,009","1,064,854",,"327,940",,"302,282","100,000"
Kazakhstan,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"492,955","169,923","3,361",
Kazakhstan,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"654,286","855,639","2,234,648"
Kazakhstan,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,485",,,,,,,,,
Kazakhstan,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,385",,,,,,,,"1,306,941","1,592,603",,,"1,882,653","1,039,850","1,333,169"
Kazakhstan,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,373","1,479,750",,"2,635,114","2,816,244","4,853,269","909,371","1,722,129","616,376","2,235,057"
Kazakhstan,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"735,842","1,618,294","2,169,848","440,140","637,718","7,819,069","30,012,618","9,410,472","55,947,012","57,953,702","75,325,792","42,033,647","118,365,496"
Kazakhstan,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,577,402","12,216,519","1,251,601",,,"8,808,527",,,,,,,"5,596,069","12,705,687",,,,
Kazakhstan,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"578,032","552,572","170,266","131,224","119,996","188,983",,"2,017,926","1,937,438","483,687","4,092,746","4,603,729","6,453,414","6,280,196","5,457,026","14,610,277","6,857,714"
Kazakhstan,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,804,970","132,652,056","52,267,261","37,589,306","10,525,788","31,942,755","57,313,560","59,192,536","52,840,084","60,153,044","52,926,785","43,430,744","40,097,361","31,093,684","28,724,818","28,425,712","27,604,692","25,554,783"
Kazakhstan,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,309","33,693",,"143,992,809"
Kazakhstan,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,735,404","2,386,737","2,376,588","2,059,469","2,218,851","3,993,976","2,473,801","2,835,263","2,697,677","2,711,672","2,602,035","2,656,508","2,244,510","2,129,827","2,209,319","2,798,878","3,768,449","3,821,500"
Kenya,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,020,299","14,232,646","17,683,815","33,692,170","43,267,897","47,082,927","14,959,598","23,670,962","22,822,117",,0,
Kenya,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,108,899","27,697,956","28,609,152","19,579,763","18,360,280","18,871,035","21,899,122","26,120,711","27,703,154","39,948,963","57,728,221","79,906,343"
Kenya,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,276,928","11,834,945","21,577,317","57,872,746","39,068,216","45,048,583","25,434,652","25,733,117","16,622,348","16,000,863",,,"1,449,206",,,,,,"426,817","48,314,437","1,689,892","3,446,313","4,888,679","7,280,301","11,401,613","2,266,148","14,722,404","11,137,735","4,085,867","78,195,459","11,300,000"
Kenya,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,318,704",,,"3,782,101","25,780,869","17,394,387","9,833,945","10,108","7,310,187","7,447,951"
Kenya,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,392,193","128,001,558","176,983,230","306,010,839","33,757,832","11,794,216","3,326,536"
Kenya,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483,995,364","511,472,854","467,170,778"
Kenya,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,435,000","1,377,913","4,396,632","1,631,763","4,286,721","12,197,186","12,411,682","5,870,782","6,329,346","13,765,613","18,590,269","20,221,654","31,707,004","41,183,673","55,719,276"
Kenya,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,099","8,986","14,196,169","13,262","12,428","3,066"
Kenya,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,152",,,"59,479",,,,,,,,"146,794","65,092",,,,,"10,184",,"71,019",,"76,331","25,000"
Kenya,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,155,269","3,655,626","4,193,274","1,338,679","4,938,408","9,754,808"
Kenya,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,807","169,760","315,238","68,113","21,267",,,,,,,,"640,550","2,723,122","12,378,967","17,448,168","12,694,062","16,270,035","18,450,250","15,428,063","26,223,093","32,273,296"
Kenya,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,833,753",,"15,256,317","6,319,985","52,008,233","13,205,785",,,,,"3,338,228","26,707,736","25,945,090","1,993,466",,,,"5,857,250",,,,
Kenya,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,218","101,430","392,547","596,908","455,943","317,154","376,355","571,144",,,"541,548","580,176","624,588","613,555","1,153,985","892,029","1,066,995","1,211,601","1,091,363","1,527,979"
Kenya,Other USAID Assistance,,,,,,,,,"26,444,424","3,363,664","6,557","6,322",,"1,814,185","597,262","2,356,167","18,642,094","28,191,468","18,762,954","24,019,127","22,429,056","15,373,178","13,313,484","11,259,173","26,946,388","9,290,934","8,871,185","49,381,375","44,190,733","55,378,618","12,437,747","3,091,692","88,603,559","83,976,467","43,604,976","40,836,823","31,907,011","56,788,986","59,018,627","60,088,777","26,717,414","49,761,536","37,776,216","54,386,662","73,747,977","55,770,808","37,385,411","27,792,864","23,090,510","24,772,640","21,288,681","15,383,324","18,877,260","48,141,121",,,"13,593,244","7,413,383","5,237,852","5,851,891","7,598,935","11,359,292","6,888,912","24,035,314","40,605,703","42,121,518"
Kenya,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,901","5,196","11,127",,,,,"77,755"
Kenya,Peace Corps,,,,,,,,,,,,,,,,,,,"568,574","6,144,428","8,205,752","4,770,986","8,192,913","7,342,939","9,756,451","7,521,233","7,603,872","7,285,777","6,043,177","5,811,336","7,653,998","1,855,015","8,153,866","7,443,944","9,220,617","8,001,890","6,748,070","6,074,033","7,810,892","9,035,920","8,070,904","6,667,746","6,784,965","6,225,069","5,446,694","4,064,982","3,778,392","3,676,634","3,925,925","4,225,039","4,138,635","3,106,543","3,951,755","6,010,365","6,364,486","4,433,776","4,154,129","3,855,772","3,910,123","3,374,638","2,830,078","2,565,073","2,777,923","2,168,342","2,337,647","2,714,100"
Kenya,Title I,,,,,,,,,,,,,,,,,,,,"18,991,867","52,516,814",,,,,,,,,,,,,,,"38,059,210","32,277,122","28,698,597","27,489,554","8,836,858","17,118,462","16,731,007","18,013,182","15,791,231","7,600,410",,,,,,,,,,,,,,"5,503,516",,,,,,,
Kenya,Title II,,,,,,,,,,,"655,687","632,216","1,227,468","6,047","597,262","8,835,627","37,866,754","4,027,353","2,274,297","2,792,922","27,899,558","4,240,877","4,096,457","489,529","3,716,743","6,193,956","2,112,187","1,619,061","1,888,493","3,418,433","6,697,248","927,508","4,462,669","2,259,868","3,185,023","7,462,915","22,368,046","6,243,204","5,085,085","16,364,001","41,632,098","4,744,561","2,290,247","1,901,597","2,745,748","2,743,940","2,169,490","14,649,294","33,545,608","26,932,505","8,661,630","3,014,507","15,443,804","31,419,839","15,466,109","37,408,576","61,178,567","25,400,454","42,587,938","49,280,408","51,625,274","101,988,175","92,456,660","93,319,264","138,915,492","102,819,400"
Kiribati,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,222,859","1,320,619","1,203,316","1,247,562","1,309,267","1,518,989","1,307,011","1,155,254","954,940","646,809","30,228",
"Korea, North",Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305,720",,"294,614","689,405","941,344",,,"95,975,224",,
"Korea, North",Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"976,776",,,,,,
"Korea, North","Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,766,100","20,177,468",,
"Korea, North",Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,672",,
"Korea, North",Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,662,877","28,542,662","104,192,302","33,019,818","23,622,988","10,135,078",,,,,,
"Korea, North",Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,389","79,141","147,709","162,643",,"194,446","189,586","94,580","1,307,223","1,895,580","2,545,196","4,328,918","1,454,990"
"Korea, North",Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"680,136",,,"4,282,032",,"9,183","600,001"
"Korea, North",Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,385,266","68,610,955","94,254,084","59,566,659","76,265,702","2,171,838",,"19,168,915","53,167,274","8,089,885",,,"73,584,205","7,738,923","2,904,400"
"Korea, South",Economic Support Fund/Security Support Assistance,,,,,,,,,"1,346,631,444","1,588,322,068","2,110,654,862","1,893,486,648","1,318,914,672","1,275,371,902","1,160,480,998","1,093,850,662","542,950,995","517,802,482","433,253,654","393,243,373","335,341,740","238,549,309","179,219,972","97,905,851","46,459,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,354",,,,,"166,905",,,,,
"Korea, South",Inactive Programs,"52,716,751","644,239,647","779,980,882","1,068,976,016","751,244,804","636,659,177","1,032,373,258","952,860,851","450,911,335","-16,145,586","-1,311,373",,,,,,,,,,,,,,,,"35,907,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"313,319","204,203",,
"Korea, South",Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,127",
"Korea, South","Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322,683","22,827",,,,
"Korea, South",Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"564,421","1,021,814","651,297","292,049","260,410","17,561",,"1,113",,"13,795,198","5,487,022","1,759,363","1,352,330"
"Korea, South",Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,423","278,956","161,401","113,150","95,857",,,,,,,,,,,,,,,,
"Korea, South",Other USAID Assistance,,,,,,,"69,849,341","279,890,012","225,116,636","435,258,102","32,784,325","39,197,386","69,965,692","110,060,543","44,794,686","79,520,646","222,540,000","218,052,378","188,766,684","291,022,440","467,727,876","369,486,374","205,846,940","124,340,431","116,148,225","268,109,821","126,731,207","110,096,180","103,111,711","69,394,194","18,497,163","3,092","35,606","41,695","1,487,030",,,,,,,,,,,,,,,,,,,,,,,"60,152","58,923",,,"53,795",,,,
"Korea, South",Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161,342",,,,,244
"Korea, South",Peace Corps,,,,,,,,,,,,,,,,,,,,,"2,735,251","7,421,534","8,704,970","6,853,410","7,433,486","8,406,083","8,448,747","7,690,542","9,820,163","6,836,866","5,740,499","1,545,846","6,925,445","6,429,366","6,202,820","5,389,751","4,221,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Title I,,,,,,,,,,"40,363,966","275,388,332","100,522,330","255,927,137","166,300,272",,"255,644,150","352,452,094","357,283,713","451,448,033","192,153,012","208,426,106","182,887,804","288,800,184","614,359,217","354,948,977","388,891,968","826,709,909","592,171,735",,"29,740,369","372,494,583","41,119,505","222,836,720","156,495,154","97,763,237","67,371,893","55,086,289",,,,,,,,,,,,,"2,099,329",,,,,,,,,,,,,,,,
"Korea, South",Title II,,,,,,,"2,095,480","1,372,010","8,814,808","71,309,674","110,155,333","172,594,943","136,862,714","102,199,076","84,214,010","163,753,626","59,421,675","65,012,978","189,903,832","161,430,873","417,946,313","144,189,805","197,141,970","308,892,961","128,692,234","86,272,962","67,589,977","53,024,263","27,194,297","19,485,069","956,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,378",,,,,,,
Kosovo,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813,652","122,288",,,,,,,"253,722",,
Kosovo,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,777,741","1,389,118","1,600,723"
Kosovo,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,483","46,280,380","27,661,076"
Kosovo,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"638,236","1,125,343","2,378,505","2,022,325",,,,,,"209,564","151,141","712,551"
Kosovo,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,854,901","6,348,557","895,165"
Kosovo,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,838","158,385","273,165","157,071","184,069","54,137","21,902","1,277,698","987,808",,,"2,377,014","1,723,007","587,160"
Kosovo,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,185,656","204,116,603","92,130,231","68,337,558","42,214,735","45,248,240","44,585,407",,,"203,683,150","78,732,466","137,223,988"
Kosovo,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,000"
Kosovo,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,128,655",,,,,,,,,
Kuwait,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,157",,,,,
Kuwait,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,120,225","541,497","1,069,772","10,140",,
Kuwait,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,564",
Kuwait,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205,202","434,762",,"92,652","139,645","134,096",,,,,,,,,,"193,663","276,765",,,
Kyrgyzstan,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"481,220",,"258,527","286,656","107,590","522,198","306,304",,
Kyrgyzstan,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"589,229",,"11,328","105,327","173,892","15,315","38,862","31,000"
Kyrgyzstan,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,901","28,011",,,"408,405",,
Kyrgyzstan,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,142","1,650,890",,"1,189,064","1,654,228","2,039,579",,,,,"600,000"
Kyrgyzstan,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,266,299",,"1,194,210","911,102","1,468,891",,,"2,553","626,443",
Kyrgyzstan,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,860","24,739","51,506",
Kyrgyzstan,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"393,498","355,476","1,680,061"
Kyrgyzstan,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,018","32,482","17,677",,"111,270",,,,,"13,995,230"
Kyrgyzstan,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,805",,"18,085,331","3,150,294","3,303,790"
Kyrgyzstan,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,693",,,,,,,,"32,862","518,518",,,"999,167","2,410,926","1,793,646"
Kyrgyzstan,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,130,866",,"396,476","2,204,120","6,445,386","995,361","634,056","292,714","1,292,703"
Kyrgyzstan,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,316","242,132","331,107","671,721","670,253","1,981,298","2,046,168","1,844,867","1,402,123","9,131,437","8,000,173"
